id,account,cost_center,title,unit
1,436000,"","LIBRARY:COLL DEVELOP-ORAL HISTORY",1
2,436000,BF,"LIBRARY:COLL DEV-ORAL HSTR/BUS FORECAST",1
3,436000,CH,"LIB:COLL DEV-ORAL HIST/CHINESE HIST-LA",1
4,436000,EN,"LIBRARY:COLL DEV-ORAL HSTR/ENTREPRENEUR",1
5,436000,GR,"LIBRARY:COLL DEV-ORAL HIST/GRAD RESEARCH",1
6,436000,LW,"LIBRARY:COLL DEV-ORAL HISTORY/LAW PROJ",1
7,436000,NP,"LIBRARY:COLL DEV-ORAL HISTORY/NPI PROJ",1
8,436000,OH,"LIBRARY:COLL DEV/ORAL HIST/ORAL HIST CTR",1
9,436000,RH,"LIBRARY:COLL DEV/ORAL HIST/ORAL HIST PRG",1
10,600001,"","LIBRARY:ADM SVC-ADMIN SERVICES",2
11,600001,AD,"LIBRARY:ADM SVC-ADMIN SERV/ADMINISTRATIV",2
12,600001,AF,"LIBRARY:ADM SVC-ADMIN SERV/ADMIN OFF",2
13,600001,AR,"LIBRARY:ADM SVC-ADMIN SERV/ACAD RECRUIT",2
14,600001,AT,"LIBRARY:ADM SVC-ADMIN SERV/ADMIN TRAVEL",2
15,600001,BT,"LIBRARY:ADM SVC-ADM SVC/BUSINESS TRAVEL",2
16,600001,CF,"LIBRARY:ADM SVC-SUPPORT/UNI-LIBRARIAN",2
17,600001,CO,"LIBRARY:ADM SVC-ADMIN SERV/COMMUNICATION",3
18,600001,CR,"LIBRARY:ADM SVC-ADM SVC/CONFERENCE ROOM",2
19,600001,DE,"LIBRARY:ADM SVC-ADMIN SERV/DEVELOPMENT",2
20,600001,DL,"LIBRARY:ADM SVC-ADM SERV/DIGITAL LIBRARY",2
21,600001,DV,"LIBRARY:ADM SVC-ADMIN SERVICES/DIVERSITY",2
22,600001,EH,"LIBRARY:ADM SVC-ADMIN SER/INTERCAMPUS EX",2
23,600001,FD,"LIBRARY:ADM SVC-ADMIN SERV/FRIENDS",2
24,600001,GE,"LIBRARY:ADM SVC-ADMIN SERV/GENERAL",2
25,600001,HD,"LIBRARY:ADM SVC-ADMIN SERV/HOLD",2
26,600001,HP,"LIBRARY:ADM SVC-ADM SVC/UCLA HISTORY PRO",2
27,600001,ID,"ADM SVC-ADMIN SERV/IDEP 1.5",4
28,600001,IM,"LIBRARY:ADM SVC-ADMIN SERV/INST MEMBRSHP",2
29,600001,KN,"LIBRARY:ADM SVC-ADMIN SERV/KINROSS",2
30,600001,L1,"LIBRARY:ADM SVC-ADMIN SERV/LAUC 2",2
31,600001,LA,"LIBRARY:ADM SVC-ADMIN SERV/LAUC-LA",2
32,600001,LM,"LIBRARY:ADM SVC-ADMIN SER/LIB MATERIAL",2
33,600001,LS,"LIBRARY:ADM SVC-ADMIN SERV/LSA",2
34,600001,LT,"LIBRARY:ADM SVC-ADMIN SVCS/LIMIT CARDS",2
35,600001,MC,"LIBRARY:ADM SVC-ADM SVC/MGT CNCL-PD TRVL",2
36,600001,MG,"LIBRARY:ADM SVC-ADMIN SRV/MGMT LIB STUDY",2
37,600001,MS,"LIBRARY:ADM SVC-MURPHY SCLPTRE GRDN PROJ",2
38,600001,OD,"LIBRARY:ADM SVC-ADMIN SER/ORG DEVELOPMNT",2
39,600001,OM,"LIBRARY:ADM SVC-ADMIN SERV/OMP-MAINT",2
40,600001,PD,"LIBRARY:ADM SVC-ADMIN SERV/PROF DEV",2
41,600001,PH,"LIBRARY:ADM SVC-ADMIN SERV/PHYSICS PROJ",2
42,600001,PW,"LIBRARY:ADM SVC-ADMIN SERVICES/POWELL",2
43,600001,RS,"LIBRARY:ADM SVC-ADMIN SERV/RESERVE",2
44,600001,S1,"LIBRARY:ADM SVC/SUSPENSE REDIRECT",2
45,600001,S2,"LIBRARY:ADM SVC/WS CBR-GAEL REDIRECT",2
46,600001,SF,"LIBRARY:ADM SVC-ADMIN SERV/SRLF",2
47,600001,SH,"LIBRARY:ADM SVC-ADM SRV/RESOURCE SHARING",2
48,600001,SP,"LIBRARY:ADM SVC-ADMIN SERV/SPEC PROJECTS",2
49,600001,SU,"LIBRARY:ADM SVC-ADMIN SERV/SC PROJECT",2
50,600001,TI,"LIBRARY:ADM SVC-AS/TECHNO INNOVATION",2
51,600001,UL,"LIBRARY:ADM SVC-ADMIN SERV/UNI-LIBRARIAN",2
52,600001,UT,"LIBRARY:ADM SVC-ADMIN SERV/UTILITIES",2
53,600001,Y2,"LIBRARY:ADM SVC-ADM SERV/YRL RMDL-2ND FL",2
54,600001,YA,"LIBRARY:ADM SVC-ADMIN SRV/YRL RMDL-A-LEV",2
55,600001,YC,"LIBRARY:ADM SVC-ADMIN SERV/YRL COMMONS",2
56,600001,YM,"LIBRARY:ADM SVC-ADMIN SRV/YRL RMDL-MAIN",2
57,600001,YR,"LIBRARY:ADM SVC-ADMIN SRV/YRL REMODEL",2
58,600010,"","LIB:ADM SVC-ADM-DEPUTY UNIV LIBRARIAN",2
59,600010,AD,"LIB:ADM SVC-ADM-DEP UNIV LIBRAR/ADMIN",2
60,600100,"","LIBRARY: ADMIN SERVICES-HUMAN RESOURCES",5
61,600100,AP,"LIBRARY:ADM SVC-HUMAN RES/ADPT TECH",5
62,600100,DV,"LIBRARY:ADM SVC-HUMAN RES/DIVERSITY",5
63,600100,HR,"LIBRARY:ADM SVC-HUMAN RES/HUMAN RESRCS",5
64,600100,HS,"LIBRARY:ADM SVC-HUMAN RES/HLTH & SAFETY",5
65,600100,OR,"LIBRARY:ADM SVC-HUMAN RES/OTHER RECRUIT",5
66,600100,SD,"LIBRARY:ADM SVC-HUMAN RES/STAFF DEV",5
67,600200,"","LIBRARY: ADMIN SERVICES-FINANCIAL",2
68,600200,CS,"LIBRARY: ADM SVC-FINAN SVCS/CASHIERING",2
69,600200,FE,"LIBRARY: ADM SVC-FIN SVCS/PROC FEES",2
70,600200,FS,"LIBRARY:ADM SVC-FINAN SVCS/FINAN SVCS",2
71,600200,SR,"LIBRARY:ADM SVC-FINAN SVCS/STOCKROOM",2
72,600200,TS,"LIBRARY: ADM SVC-FIN SVCS/TECHNICAL SRVS",2
73,600300,"","LIBRARY: ADMIN SVC-EXTERNAL AFF/LIB DEV",6
74,600300,DE,"LIBRARY: ADMIN SVC-EXT AFF/LIB DEV-DEV",6
75,600300,SD,"LIBRARY:ADMIN SVC-EXTERNAL AFF/STAFF DEV",6
76,600400,"","LIBRARY:ADM SVCS-BUILDING SERVICES",7
77,600400,AP,"LIBRARY:ADM SVCS-BLDG SVCS/ADPT TECH",7
78,600400,BS,"LIBRARY:ADM SVCS-BLDG SVCS/BUILDING SVCS",7
79,600400,HS,"LIBRARY:ADM SVC-BLDG SVCS/HLTH & SAFETY",7
80,600400,MR,"LIBRARY:ADM SVCS-BLDG SVCS/MAIL ROOM",7
81,600400,SE,"LIBRARY:ADM SVC-BLDG SVCS/SECURITY",7
82,600500,"","LIBRARY: ADM SVC",2
83,600500,ST,"LIBRARY: ADM SVC-ASSESSMENT & STATISTICS",2
84,601112,"",LIBRARY-CIRCULATION,2
85,602530,"","LIBRARY-INTERCAMPUS EXCHANGE",2
86,602550,"","LIBRARY-MICROFILMING PROJECT",2
87,602597,"","LIBRARY-ACADEMIC UPGRADES",2
88,602598,"","LIBRARY-PROV MERIT INC PROM",2
89,603000,"","LIBRARY:PUBLIC SVC",2
90,603000,AD,"LIBRARY:PUBLIC SVC/ADMINISTRATION",2
91,603000,CM,"LIBRARY:PUB SRV-ADM/CAMPBELL COMPETITION",2
92,603000,DR,"LIBRARY:PUB SERV-ADMIN/DIGITAL REFERENCE",2
93,603000,EX,"LIBRARY:PUB SERV-ADMIN/INTERCAMPUS EX",2
94,603000,IN,"LIBRARY:PUB SERV-ADMIN/INFO LITERACY",2
95,603000,L1,"LIBRARY:PUBLIC SERV-PUBL SERV ADM/LAUC 1",2
96,603000,TL,"LIBRARY:PUB SERV-ADMIN/TEACHNG & LEARNG",2
97,603000,UI,"LIBRARY:PUB SERV-ADMIN/UNDERGRAD INTIATV",2
98,603000,WD,"LIBRARY:PUBLIC SERV-ADMIN/WEB DESIGN",2
99,603100,"","LIBRARY: PUBLIC SERV-ACCESS CIRCULATION",8
100,603100,AR,"LIBRARY: PUB SRV-ACCESS CIRC/ART",8
101,603100,AS,"LIBRARY: PUB SRV-ACCESS CIRC/ACCESS SERV",8
102,603100,CL,"LIBRARY: PUB SRV-ACCESS CIRC/POWELL",8
103,603100,DD,"LIBRARY:PBLC SRV-ACC CIRC-DOC DELIVERY",8
104,603100,DV,"LIBRARY: SYSTEMS-SYSTEMS/DIVERSITY",8
105,603100,EH,"LIBRARY:PUB SRV-ACCESS CIRC/INTERCAMPUS",8
106,603100,FE,"LIBRARY: PUB SRV-ACCESS CIRC/PROC FEES",8
107,603100,GB,"LIBRARY:PUB SERV-ACCESS CIRC-GOOGLE BOOK",8
108,603100,LC,"LIBRARY: PUBLIC SERV-ACCESS CIRC-LOCKERS",8
109,603100,LL,"LIB:PBLC SRV-ACC CIRC-INTERLIB LOAN",8
110,603100,LM,"LIBRARY:PUB SERV-ACCESS SVC/LIB MATERIAL",8
111,603100,LT,"LIBRARY: PUBLIC SRV-ACC CIRC-LIMIT CARDS",8
112,603100,MU,"LIBRARY: PUB SRV-ACCESS CIRC/MUSIC",8
113,603100,YR,"LIBRARY: PUBLIC SERV-ACCESS CIRC/YRL",8
114,603200,"","LIB-PUBLIC SERVICE-AFFILIATED LIBRARY",8
115,603200,AS,"LIB:PUB SERV-AFFILIATED LIB/ACCESS SVCS",8
116,603300,"","LIBRARY: PUBLIC SERV-COLLEGE",9
117,603300,CL,"LIBRARY:PUB SERV-POWELL LIBR",9
118,603300,EV,"LIBRARY: PUB SERV-COLLEGE/EVENTS",9
119,603300,IN,"LIBRARY:PS-COLLEGE/INFORMATION LITERACY",9
120,603300,L1,"LIBRARY: PUBLIC SERV-COLLEGE/LAUC 1",9
121,603300,L2,"LIBRARY: PUBLIC SERV-COLLEGE/LAUC 2",9
122,603300,L3,"LIBRARY: PUBLIC SERV-COLLEGE/LAUC 4",9
123,603300,LA,"LIBRARY: PUBLIC SERV-COLLEGE/LAUC-LA",9
124,603300,LM,"LIBRARY: PUBLIC SERV-COLLEGE/LIB MATRLS",9
125,603400,"","LIBRARY:PUBLIC SERV-ACAD SVCS",2
126,603400,AD,"LIBRARY:PUB SERV-ACAD SVCS/ADMIN",2
127,603400,DE,"LIBRARY:PUB SERV-ACAD SVCS/DEVELOPMENT",2
128,603400,EM,"LIBRARY:PUB SERV-SCI & ENGR/EMS LIBRARY",2
129,603400,LB,"LIBRARY:PUB SERV-ACAD SVCS/BINDERY",2
130,603500,"","LIBRARY: PUBLIC SERV-FINE ARTS",10
131,603500,AR,"LIBRARY:PUB SERV-FINE ARTS/ART",10
132,603500,AU,"LIBRARY:PUB SERV-FINE ARTS/AUPL",10
133,603500,BL,"LIBRARY: PUBLIC SERV-FINE ARTS/BACKLOG",10
134,603500,CP,"LIB:PUB SERV-FINE ARTS/CTR PRI RES&TRNG",10
135,603500,DE,"LIBRARY:PUBLIC SERV-FINE ARTS/DEVELOPMNT",10
136,603500,DL,"LIBRARY:PUB SERV-FINE ARTS/DIGITAL LIB",10
137,603500,DV,"LIBRARY: PUBLIC SERV-FINE ARTS/DIVERSITY",10
138,603500,LA,"LIBRARY:PUB SERV-FINE ARTS/LAUC",10
139,603500,LB,"LIBRARY: PUBLIC SERV-FINE ARTS/BINDERY",10
140,603500,LM,"LIBRARY:PUBLIC SERV-FINE ARTS/LIB MATRLS",10
141,603500,MU,"LIBRARY:PUB SERV-FINE ARTS/MUSIC",11
142,603500,PF,"LIBRARY:PUB SERV-FINE ARTS/PERFRMNG ARTS",10
143,603510,"","LIBRARY: PUBLIC SERV-ARTS LIBRARY",10
144,603510,LM,"LIBRARY: PUBLIC SERV-ARTS/LIB MATERIAL",10
145,603512,"","LIBRARY:PUBLIC SERV-ARTS #2",10
146,603512,LM,"LIBRARY:PUBLIC SERV-ARTS #2/LIB MATERIAL",10
147,603513,"","LIBRARY:PUBLIC SERV-ARTS #3",10
148,603513,LM,"LIBRARY:PUBLIC SERV-ARTS #3/LIB MATERIAL",10
149,603520,"","LIBRARY: PUBLIC SERV-MUSIC LIBRARY",11
150,603520,LM,"LIBRARY: PUBLIC SERV-MUSIC/LIB MATERIAL",11
151,603525,"",LIB:PUBSRV-MUSIC/EXTRMRL,11
152,603525,DI,"LIB:PUBSRV-MUSIC/EXTRMRL/DIV & INC INIT",11
153,603600,"","LIBRARY: PUBLIC SERV-MANAGEMENT",12
154,603600,LM,"LIBRARY:PUBLIC SERV-MGMT/LIB MATERIALS",12
155,603600,MG,"LIBRARY:PUB SERV-MANAGEMENT/MGMT LIBR",12
156,603700,"","LIBRARY: PUBLIC SERV-COMMUNICATIONS OFFI",2
157,603700,CO,"LIBRARY: PUBLIC SERV-COMMUNICATIONS OFFI",2
158,603800,"","LIBRARY: PUBLIC SERV-MAPS & GOV INFO",13
159,603800,CA,"LIBRARY:PUB SERV-EAST ASIAN LIB-CATALOG",13
160,603800,DE,"LIBRARY:PUB SERV-E ASIAN LIB/DEVELOPMENT",13
161,603800,DL,"LIBRARY:PUB SERV-E ASIAN LIB/DIGITAL LIB",13
162,603800,EA,"LIBRARY:PUB SERV-EAST ASIAN LIBRARY",13
163,603800,L1,"LIBRARY: PUB SERV-EAST ASIAN LIB/LAUC1",13
164,603800,L2,"LIB:PUBLIC SERV-EAST ASIAN LIB/LAUC3",13
165,603800,LA,"LIBRARY:PUB SERV-E ASIAN LIB/LAUC",13
166,603800,LB,"LIBRARY:PUB SERV-EAST ASIAN LIB/BINDERY",13
167,603800,LM,"LIBRARY:PUBLIC SERV-EAST ASIAN/LIB MATRL",13
168,603800,MP,"LIBRARY: PUBLIC SERV-MAPS & GOV INFO",13
169,603900,"","LIBRARY:PUB SERV",14
170,603900,CF,"LIBRARY:PUB SERV-CRIS/CLIR FELLOW",14
171,603900,CY,"LIBRARY:PUB SERV-COL, REF & INSTRCT SVCS",14
172,603900,DE,"LIBRARY:PUB SERV-CRIS/DEVELOPMENT",14
173,603900,DL,"LIBRARY:PUB SERV-CRIS/DIGITAL LIBRARY",14
174,603900,DU,"LIBRARY:PUB SERV-CRIS-DRESSUP",14
175,603900,IG,"LIBRARY:PUB SERV-CRIS/INNOVATION GRANT",14
176,603900,L1,"LIBRARY:PUB SERV-CRIS/LAUC 2",2
177,603900,L2,"LIBRARY:PUB SERV-CRIS/LAUC 3",14
178,603900,L3,"LIBRARY:PUB SERV-CRIS/LAUC 4",14
179,603900,L4,"LIBRARY:PUB SERV/LAUC 5",14
180,603900,L5,"LIBRARY:PUB SERV/LAUC 6",14
181,603900,L6,"LIBRARY:PUB SERV/LAUC 7",14
182,603900,LA,"LIBRARY:PUB SERV-CRIS/LAUC",14
183,603900,LB,"LIBRARY:PUB SERV-CRIS-YRL LIB/BINDERY",14
184,603900,LM,"LIBRARY:PUB SERV-CRIS/LIBRARY MATERIALS",14
185,603900,MP,"LIBRARY:PUB SERV",14
186,603900,RS,"LIBRARY:PUB SERV-REF & INSTRUCT SVCS",14
187,603912,"","LIBRARY:PUB SERV-CRIS #2",14
188,603912,LM,"LIBRARY:PUB SERV-CRIS #2/LIB MATERIALS",14
189,603913,"","LIBRARY:PUB SERV-CRIS #3",14
190,603913,LM,"LIBRARY:PUB SERV-CRIS #3/LIB MATERIALS",14
191,603914,"","LIBRARY:PUB SERV-CRIS #4",14
192,603914,LM,"LIBRARY:PUB SERV-CRIS #4/LIB MATERIALS",14
193,603915,"","LIBRARY:PUB SERV-CRIS #5",14
194,603915,LM,"LIBRARY:PUB SERV-CRIS #5/LIB MATERIALS",14
195,604000,"","LIBRARY: TECHNICAL SERV-TECH SERVICES",15
196,604000,AD,"LIBRARY:TECH SERV-TECH SVC/ADMIN",15
197,604000,AH,"LIBRARY:TECH SERV-TECH SVC/ARCHIVES",15
198,604000,CF,"LIBRARY:TECH SERV-TECH SVC/CLIR FELLOW",15
199,604000,CN,"LIBRARY:TECH SERV-CONSERVATION",15
200,604000,DC,"LIBRARY:TECH SERV-DIGITAL COL MGMT & LIC",15
201,604000,DE,"LIBRARY:TECH SERV-TECH SVC/DEVELOPMENT",15
202,604000,DL,"LIBRARY:TECH SERVICES-DIGITAL LIBRARY",15
203,604000,FA,"LIBRARY:TECH SERV-TECH SRV-FINDING AIDS",15
204,604000,GB,"LIBRARY:TECHNICAL SERV-GOOGLE BOOKS",15
205,604000,LB,"LIBRARY:TECH SERV-UNIV ARCHVS/BINDERY",15
206,604000,OA,"LIB:TECH SERV-TECH SVC/UCOP-OPEN ACCESS",2
207,604000,PR,"LIBRARY:TECH SERV-/PRESERVATION PROJECTS",2
208,604010,"","LIB:TECH SRV-DIG COL MGT & LIC-EXTRAMURL",2
209,604010,MI,"LIB:TECH SRV-DIG COL MGT & LIC-EXTRA/MI",2
210,604100,"","LIBRARY: TECHNICAL SERV-ACQUISITIONS",16
211,604100,AQ,"LIBRARY:TECH SERV-ACQUISITIONS/ACQUIS",16
212,604100,BL,"LIBRARY:TECH SERV-ACQUISITIONS/BACKLOG",16
213,604100,MR,"LIBRARY:TECH SERV-ACQUISITIONS/MAILROOM",16
214,604100,SH,"LIBRARY:TECH SERV-ACQUIS/SHELF READY",16
215,604100,SP,"LIBRARY:TECH SERV-ACQUIS/SHARED PRINT",16
216,604100,SR,"LIBRARY:TECH SERV-ACQUIS/SERIAL PATTERN",16
217,604200,"","LIBRARY: TECHNICAL SERV-CATALOGING",17
218,604200,BL,"LIBRARY:TECH SRV-CATALOGING/BACKLOG",17
219,604200,CA,"LIBRARY:TECH SERV-CATALOGING/CATALOG",17
220,604200,LA,"LIBRARY: TECH SERV-CATALOGING/LAUC",17
221,604200,OC,"LIBRARY:TECH SERV-CATALOGING/OUTSOURCED",17
222,604200,OT,"LIBRARY:TECH SERV-CATALOGING/OUTSOURCED",17
223,604200,SP,"LIBRARY:TECH SRV-CATALOGING/SHARED PRINT",17
224,604300,"","LIBRARY:TECHNICAL SERVICES",18
225,604300,CN,"LIBRARY: TECHNICAL SVCS/CONSERVATION",18
226,604300,GS,"LIBRARY:TECH SERV-PRESERV/GOLDEN STATE",18
227,604300,LA,"LIBRARY: TECHNICAL SVCS/LAUC",18
228,604300,LB,"LIBRARY: TECHNICAL SVCS/BINDERY",18
229,604300,PR,"LIBRARY: TECHNICAL SVCS/PRESERVATION",18
230,604300,UC,"LIB:TECH SVS/PRESERVE/UC CURATION CTR",18
231,604310,"","LIBRARY:TECH SVCS-EXTRAMURAL",18
232,604310,CN,"LIBRARY:TECH SVCS-EXTRAMURAL/CONSERVATN",18
233,605000,"","LIBRARY: SYSTEMS-SYSTEMS",19
234,605000,AD,LIBRARY:SYSTEMS-SYSTEMS/ADMINISTRATION,19
235,605000,AE,"LIBRARY:SYSTEMS-SYSTEMS/EQUIPMENT SUPP",19
236,605000,BR,"LIBRARY: SYSTEMS-SYSTEMS/BRAIN SCAN",19
237,605000,CA,"LIBRARY:SYSTEMS-SYSTEMS/CAMPUS INFO",19
238,605000,CF,"LIBRARY:SYSTEMS-SYSTEMS/CLIR FELLOW",19
239,605000,DA,"LIBRARY: SYSTEMS-SYSTEMS/DATA ARCHIVES",20
240,605000,DL,"LIBRARY: SYSTEMS-SYSTEMS/DIGITAL LIBRARY",4
241,605000,DV,"LIBRARY: SYSTEMS-SYSTEMS/DIVERSITY",19
242,605000,FE,"LIBRARY: SYSTEMS-SYSTEMS/PROC FEES",19
243,605000,LA,"LIBRARY:PUB SERV-SYS/LAUC",19
244,605000,LD,"LIBRARY: SYSTEMS-SYSTEMS-DEVELOPMENT",21
245,605000,OA,"LIBRARY:SYSTEMS-SYSTEMS/UCOP-OPEN ACCESS",19
246,605000,OR,"LIBRARY: SYSTEMS-SYSTEMS/ORION 2",19
247,605000,SY,"LIBRARY:SYSTEMS-SYSTEMS/SCHOLARLY COMM",19
248,605100,"","LIBRARY: SYSTEMS-DIGITAL LIBRARY",4
249,605100,DH,"LIBRARY:SYSTEMS-DIG LIB-DIG HUM FELLSHP",4
250,605100,DL,"LIBRARY: SYSTEMS-DIGITAL LIBRARY",4
251,605100,DS,"LIB:DIGITAL LIB SUPPLEMENTAL BUDGET PLAN",4
252,605100,PP,"LIBRARY:SYSTEMS-DIGITAL LIB-PORTAL PROJ",4
253,605100,PR,"LIBRARY:SYSTEMS-DIGITAL LIB-PRESERVTION",4
254,605100,UC,"LIBRARY:SYS-DIGITAL LIB/UC CURATION CTR",4
255,605200,"","LIBRARY:SYS-DIG LIB-EXTRAMURAL",4
