id,account,cost_center,title,unit
256,605200,AG,"LIBRARY:SYS-DIG LIB-EXTRAMURAL/AEGARON",4
257,605200,CT,"LIB:SYS-DIG LIB-EXTRMRL/ST CATHERINE DGT",4
258,605200,CU,"LIB:SYS-DIG LIB-EXTRMRL/CUNEIFORM CDLI 2",4
259,605200,CW,"CW LIBRARY:SYS-DIG LIB-EXTRAMURAL/COBWEB",4
260,605200,DL,"LIB:SYS-DIG LIB-EXTRMRL/DIGITAL LIBRARY",4
261,605200,EG,"LIBRARY:SYS-DIG LIB-EXTRMURAL/EGYPTOLOGY",4
262,605200,LO,"LIB:SYS-DG LB-EXTRMRL/LIVNGSTN FLD DIARY",4
263,605200,LV,"LIB:SYS-DIG LIB-EXTRMRL/LIVINGSTONE ONLN",4
264,605200,MN,"LIBRARY:SYS-DIG LIB-EXTRAMURAL/MINASIAN",4
265,605200,PL,"LIBRARY:SYS-DIG LIB-EXTRAMURAL/STEEL",4
266,605200,SM,"LIBRARY:SYS-DIG LIB-EXTRAMRL/SHEET MUSIC",4
267,605200,TT,"LIBRARY:SYS-DIG LIB-EXTRAMURAL/ISEBEL",4
268,605200,VS,"LIBRARY:SYS-DIG LIB-EXTRAMURAL/VSIM",4
269,606000,"","LIBRARY: COLL DEVELOP-COLLECTION DEVELOP",2
270,606000,AD,"LIBRARY:COLL DEV-COLL DEV/ADMINISTRATION",2
271,606000,LB,"LIBRARY:COLL DEV-COLL DEV/BINDERY",2
272,606000,LM,"LIBRARY:COLL DEV-COLL DEV/LIB MATERIALS",2
273,606100,"","LIBRARY: COLL DEVELOP-BIBLIOGRAPHERS GRP",2
274,606100,BG,"LIBRARY:COLL DEV-BIBLIOG GROUP/BIBS",2
275,606100,GN,"LIBRARY:COLL DEV-BIBLIOG GRP/GLBL NETWRK",2
276,606100,TI,"LIBRARY:CD-BG-TECHNOLOGICAL INNOVATION",2
277,606200,"","LIBRARY: COLL DEVELOP-EAST ASIAN",2
278,606200,EA,"LIBRARY:COLL DEV-EAST ASIAN/EAST ASIAN",2
279,606300,"","LIBRARY: COLL DEVELOP-COLL DEVELOP",2
280,606300,CD,"LIBRARY:COLL DEV-COL DEV/COLL DEV & MGMT",2
281,606300,LM,"LIBRARY: COLL DEVELOP-COLL DEV/LIB MATRL",2
282,606400,"","LIBRARY: COLL DEVELOP-SPECIAL COLLECT",15
283,606400,AH,"LIBRARY: COLL DEVELOP-SPECIAL COLLECT",15
284,606400,CC,"LIBRARY: CD-SPECIAL COLLECT/CAL CULTURES",15
285,606400,CF,"LIBRARY:COLL DEV-SPEC COLLEC/CLIR FELLOW",15
286,606400,CM,"LIBRARY:CD-SPEC COL/CAMPBELL COMPETITION",15
287,606400,CP,"LIBRARY:COLL DEV-SC/CTR PRIMARY RES&TRNG",15
288,606400,DE,"LIBRARY:CD-SPEC COL/DEVELOPMENT",15
289,606400,DL,"LIBRARY:CD-SPEC COL/DIGITAL LIBRARY",15
290,606400,HS,"LIBRARY: HISTORY & SPEC COLLEC SCIENCES",15
291,606400,LA,"LIBRARY:COLL DEV-SPEC COLLEC/LAUC",15
292,606400,LB,"LIBRARY:COLL DEV-SPEC COL LIB/BINDERY",15
293,606400,LM,"LIBRARY:COLL DEV-SPEC COL/LIBRARY MATRLS",15
294,606400,OC,"LIBRARY:CD-SC-UCOP/OPEN CONTENT ALLIANCE",15
295,606400,PA,"LIBRARY:CD-SPECIAL COLLECT/PHOTO ARCHIVE",15
296,606400,SC,"LIBRARY:COLL DEV-SPEC COLLEC/SPEC COLLEC",15
297,606400,SP,"LIBRARY: CD-SC-SHARED PROCESSING FAC",15
298,606410,"","LIBRARY: COLL DEV-SPEC COLL-EXTRAMURAL",2
299,606410,CA,"LIB:COLL DEV-SC/-EXTRAMURAL-CATALOGING",2
300,606410,CP,"LIB:COLL DEV-SC/-EXTRAMURAL-CFPRT",2
301,606410,GS,"LIB:COLL DEV-SC/-EXTRAMURAL-GOLDEN STATE",2
302,606410,MZ,"LIB:COLL DEV-SC/-EXTRAMURAL-MAZER",2
303,606410,RD,"LIB:COLL DEV-SC/-EXTRAMURAL-R. ST. DENIS",2
304,606410,UP,"LIB:COLL DEV-SPEC/EXTRAMRL/UNOCAL PAPERS",2
305,606500,"","LIBRARY: COLL DEVELOP-BOOKS",2
306,606500,LM,"LIBRARY:COLL DEV-BOOKS/LIBRARY MATERIALS",2
307,606500,LQ,"LIBRARY:COLL DEV-BOOKS/LIB MATERIALS-2ND",2
308,606500,MP,"LIBRARY:COLL DEV-BOOKS/LIBRARY MATERIALS",2
309,606600,"","LIBRARY: COLL DEVELOP-BINDING",2
310,606600,LB,"LIBRARY:COLL DEV-BINDING/LIBRARY BINDING",2
311,606700,"","LIBRARY: COLL DEVELOP-ORAL HISTORY",2
312,606700,RH,"LIBRARY:COLL DEV-ORAL HIST/ORAL HIST PRO",2
313,606800,"","LIBRARY:COLL DEV",22
314,606800,IS,"LIBRARY:COLL DEV-INTERNATIONAL STUDIES",22
315,606800,LM,"LIBRARY:COLL DEV-INT'L STUDIES/LIB MATER",22
316,787660,"","ORAL HISTORY PROGRAM",1
317,787660,RH,"LIBRARY:COLL DEV-ORAL HIST/ORAL HIST PRO",1
318,790001,"","LIBRARY:ADM SVC-ADMIN SER/FIN AID",2
319,790001,GE,"LIB:ADM SVC-ADMIN SER/FIN AID/GEN LIB",2
320,790001,SC,"LIB:ADM SVC-ADMIN/FIN AID/SPEC COLLEC",2
321,801183,"","UNDISTR ALLOC-UNIVERSITY LIBRARY",2
322,804235,"","CODE4LIB CONF 2017",2
323,804600,"","AGENCY FD-STATE LIBRARY",2
324,600002,"","LIBRARY:BUDGET ADMINISTRATION",2
325,600002,HD,"LIBRARY:BUDGET ADMINISTRATION/HOLD",2
326,600002,RS,"LIBRARY:BUDGET ADMINISTRATION/RESERVE",2
327,600002,UL,"LIBRARY:ADM SVC-SUPPORT/UNI-LIBRARIAN",2
328,609600,"","UNIVERSITY RESEARCH LIBRARY SUPPORT",2
329,898300,"","UNIV LIB-TAX ASSESSMENT UNDISTRIBUTED",2
330,898300,8X,"UNIV LIB-TAX ASSESSMENT UNDISTRIBUTED",2
331,601000,"","LIBRARY:SCIENCES-BIOMEDICAL LIBRARY/",23
332,601000,AC,LIBRARY:SCIENCES-BIOMED/ACQUISITIONS,23
333,601000,AD,LIBRARY:SCIENCES-BIOMED/ADMINISTRATION,23
334,601000,AF,"LIBRARY:SCIENCES-BIOMED/ADMIN OFFICE",23
335,601000,BF,"LIBRARY:SCIENCES-BIOMED/TEAM BUILDING",23
336,601000,BI,"LIBRARY:SCIENCES-BIOMED/BIOMED LIB",23
337,601000,BM,"LIBRARY:SCIENCES-BIOMED/BIOMED LIB",23
338,601000,CB,LIBRARY:SCIENCES-BIOMED/CATALOGING,23
339,601000,CD,"LIBRARY:SCIENCES-BIOMED/COLL DEV",23
340,601000,CF,"LIBRARY:SCIENCES-BIOMED/CLIR FELLOW",23
341,601000,CL,LIBRARY:SCIENCES-BIOMED/CLASSES,23
342,601000,CR,LIBRARY:SCIENCES-BIOMED/CIRCULATION,23
343,601000,DD,"LIBRARY:SCIENCES-BIOMED/DOCUMENT DELIV",23
344,601000,DE,LIBRARY:SCIENCES-BIOMED/DEVELOPMENT,23
345,601000,DP,"LIBRARY:SCIENCES-BIOMED/DIGITAL PROJECT",23
346,601000,EH,"LIBRARY SCI-BIOMED/INTERCAMPUS EXCHANGE",23
347,601000,EX,"LIBRARY:SCIENCES-BIOMED/ILL & OE",23
348,601000,GF,"BIOMEDICAL LIBRARY",23
349,601000,HS,LIBRARY:SCIENCES-BIOMED/HISTORY,23
350,601000,IA,"LIBRARY:SCI-BIOMED LIB/IAMIMS PROJECT",23
351,601000,LB,"LIBRARY:SCIENCES-BIOMED LIB/BINDERY",23
352,601000,LL,"LIBRARY:SCIENCES-BIOMED/INTERLIB LOAN",23
353,601000,LM,"LIBRARY:SCIENCES-BIOMED/LIB MATERIALS",23
354,601000,LR,"LIBRARY:SCIENCES-BIOMED/LEARNING RES",23
355,601000,RC,"LIBRARY:SCI-BIOMED/RES,INSTR & COLL SVCS",23
356,601000,RE,LIBRARY:SCIENCES-BIOMED/REFERENCE,23
357,601000,RM,LIBRARY:SCIENCES-BIOMED/PSRNN/LM,23
358,601000,S1,"LIBRARY:SCIENCE-BIOMED/SUSPENSE REDIRECT",23
359,601000,S2,"LIBRARY:SCI-BIOMED/WS CBR-GAEL REDIRECT",23
360,601000,SD,"LIBRARY:SCIENCES-BIOMED/SEL DISSEM",23
361,601000,SE,"LIBRARY:SCIENCES-BIOMED/BIB SEARCHES",23
362,601000,TC,"LIBRARY:SCIENCES-BIOMD/TECH & LEARNG CTR",23
363,601000,TL,"LIBRARY:SCIENCES-BIOMED/TEACHNG & LEARNG",23
364,601000,UN,"LIBRARY:SCIENCES-BIOMED LIBRARY/UNCOVER",23
365,601001,"","BIOMEDICAL LIBRARY",23
366,601002,"","BIOMEDICAL LIBRARY",23
367,601100,"","LIBRARY: SCIENCES-SCIENCE & ENGR LIBRARY",24
368,601100,AC,LIBRARY:SCIENCES-SEL/ACQUISITIONS,24
369,601100,AD,LIBRARY:SCIENCES-SEL/ADMINISTRATION,24
370,601100,AQ,LIBRARY:SCIENCES-PSTL/ACQUISITIONS,24
371,601100,BL,LIBRARY:SCI-SEL/BACKLOG,24
372,601100,CD,"LIBRARY:SCIENCES-SEL/COLL DEVEL",24
373,601100,CH,"LIBRARY:SCIENCES-SEL/CHEMISTRY LIBRARY",24
374,601100,CT,LIBRARY:SCIENCES-PSTL/CATALOGING,24
375,601100,EH,"LIBRARY: SCI-PSTL/INTERCAPMUS EXCHANGE",24
376,601100,EM,"LIBRARY:SCIENCES-SEL/EMS LIBRARY",24
377,601100,GG,"LIBRARY:SCIENCES-SEL/GEOLOGY LIBRARY",24
378,601100,LB,"LIBRARY:SCIENCES-SEL LIB/BINDERY",24
379,601100,LL,LIBRARY:SCIENCES-SEL/ILL,24
380,601100,LM,"LIBRARY:SCIENCES-SEL/LIBRARY MATERIALS",24
381,601100,PH,"LIBRARY:SCIENCES-SEL/PHYSICS LIBRARY",24
382,601100,RF,"LIBRARY: SCIENCES-SEL/REFERENCE",24
383,601100,SE,"LIBRARY: SEL - INTERLIBRARY LOAN",24
384,601100,TF,"LIBRARY:SCIENCES-PSTL/TASK FORCE",24
385,601100,UN,LIBRARY:SCIENCES-PSTL/ILL/UNCOVER,24
386,601110,"","LIBRARY: SCIENCES-CHEMISTRY LIBRARY",24
387,601110,LM,"LIBRARY: SCIENCES-CHEM/LIB MATERIALS",24
388,601120,"","LIBRARY: SCIENCES-ENG-MATH SCIENCES LIB",24
389,601120,LM,"LIBRARY: SCIENCES-EMS/LIB MATERIALS",24
390,601130,"","LIBRARY: SCIENCES-GEOLOGY",24
391,601130,LM,"LIBRARY: SCIENCES-GEOLOGY/LIB MATERIALS",24
392,601140,"","LIBRARY: SCIENCES-PHYSICS",24
393,601140,LM,"LIBRARY: SCIENCES-PHYSICS/LIB MATERIALS",24
394,601200,"","LIBRARY: SCIENCES-PACIFIC SW-REG MED LIB",23
395,601200,AU,"ALL OF US SUPPLEMENT - NIH/NLM: RML",23
396,601200,GM,LIBRARY:SCIENCES-PSRMLS/OUTREACH,23
397,601200,ML,LIBRARY:SCIENCES-PSRMLS/TRAINING,23
398,601200,NS,"LIBRARY:SCI-PSRNN/LM CONTRCT NONSEVERBLE",23
399,601200,RL,LIBRARY:SCIENCES-PSRMLS/ENHANCEMENTS,23
400,601200,RM,LIBRARY:SCIENCES-PSRNN/LM/CONTRACTS,23
401,601200,SP,"ALL OF US SUPPLEMENT Y5 - NIH/NLM: RML",23
402,601208,"","BIOMEDICAL LIBRARY",23
403,607100,"","LIBRARY-SOUTHERN REGIONAL LIBRARY FCLTY",25
404,607100,AD,LIBRARY:SRLF/ADMIN,25
405,607100,DD,"LIBRARY:SRLF/DOCUMENT DELIVERY",25
406,607100,DS,"LIBRARY-SRLF/DESKTOP SERVICES",25
407,607100,MF,LIBRARY-SRLF-MICROFILM,25
408,607100,PR,LIBRARY:SRLF/PROCESSING,25
409,607100,PS,LIBRARY:SRLF/PUBLICSERVICE,25
410,607100,S1,"LIBRARY-SRLF/SUSPENSE REDIRECT",25
411,607100,S2,"LIBRARY-SRLF/WS CBR-GAEL REDIRECT",25
412,607100,SF,"LIBRARY-SRLF/ORION EXPRESS",25
413,607100,SJ,"LIBRARY:SRLF/SHARED JOURNALS",25
414,607100,SR,"LIBRARY-SOUTHERN REGIONAL LIBRARY FCLTY",25
415,607100,ST,LIBRARY:SRLF/STACKS,25
416,607100,TE,"LIBRARY-SO REGIONAL LIB FCLTY/TECH AIDS",25
417,607200,"",LIBRARY:SRLF-UCOP,25
418,607200,GB,"LIBRARY:SRLF-UCOP/GOOGLE BOOKS",25
419,607200,JA,"LIBRARY:SRLF-UCOP/JOURNAL ARCHIVING",25
420,607200,JS,LIBRARY:SRLF-UCOP/JSTOR,25
421,607200,OC,"LIBRARY:SRLF-UCOP/OPEN CONTENT ALLIANCE",25
422,607200,SP,"LIBRARY:SRLF-UCOP/SHARED PRINT",25
423,607200,WS,"LIBRARY:SRLF-UCOP/WEST PROJECT",25
424,722800,"","LIBRARY:REPROGRAPHICS ADMINISTRATION",8
425,722800,AD,LIBRARY:REPROGRAPHICS-ADMINISTRATION,8
426,722800,CP,LIBRARY:REPROGRAPHICS-COPIERS,8
427,722800,EQ,LIBRARY:REPROGRAPHICS/EQUIPMENT,8
428,722800,LC,"LIBRARY:REPROGRAPHICS/LIB COMMITMENT",8
429,722800,LE,"LIBRARY-REPROGRAPHICS/LIBRARY EXPENSES",8
430,722800,MF,"LIBRARY:REPROGRAPHICS/MICRO FILM",8
431,722800,RP,"LIBRARY:REPROGRAPHICS/READER PRINTERS",8
432,722800,SK,LIBRARY:REPROGRAPHICS/SCANNERS,8
433,722800,TP,"LIBRARY:REPROGRAPHICS/TERMINAL PRINTERS",8
434,609100,"","UNIV LIB:CLICC",26
435,609100,AD,"UNIV LIB:CLICC-ADMINISTRATION",26
436,609100,BI,"LIB COMP SVCS-STAFF-BIOMED COMPUTING LAB",26
437,609100,CL,"LIB COMP SVCS-STAFF-CLICC COMPTRS & LABS",26
438,609100,DI,"UNIV LIB:CLICC/DISKS",26
439,609100,LC,"LIB COMP SVCS-STAFF-PUBLIC/STAFF CMPTRS",26
440,609100,S1,"UNIV LIB:CLICC/SUSPENSE REDIRECT",26
441,609100,S2,"UNIV LIB:CLICC/WS CBR-GAEL REDIRECT",26
442,609200,"","LIBRARY COMPUTING SERVICES-HARDWARE",26
443,609200,BI,"LIB COMP SVCS-HARDWARE-BIOMED CMPTNG LAB",26
444,609200,CL,"LIB COMP SVCS-HARDWARE-CLICC",26
445,609200,LC,"LIB COMP SVCS-HARDWARE-PUBLIC/STAFF COMP",26
446,609200,PU,"LIB COMP SVCS-HARDWARE-PUBLIC COMPUTERS",26
447,609200,SF,"LIB COMP SVCS-HARDWARE-STAFF COMPUTERS",26
448,609300,"","LIBRARY COMPUTING SERVICES-SOFTWARE",26
449,609300,BI,"LIB COMP SVCS-SOFTWARE-BIOMED CMPTNG LAB",26
450,609300,CL,"LIB COMP SVCS-SOFTWARE-CLICC",26
451,609300,LC,"LIB COMP SVCS-SOFTWARE-PUBLIC/STAFF COMP",26
452,609400,"","LIB COMP SVCS-OTHER SUPPLIES AND EXPENSE",26
453,609400,BI,"LIB COMP SVCS-OTH S & E-BIOMD CMPTNG LAB",26
454,609400,CL,"LIB COMP SVCS-OTHER SUPP & EXP-CLICC",26
455,609400,LC,"LIB COMP SVCS-OTH S & E-PUBLC/STAFF COMP",26
456,432974,"","FILM & TELEVISION ARCHIVE-UNALLOCATED",27
457,432974,8A,"FILM & TELEVISION ARCHIVE-UNALLOCATED",27
458,432975,"","FILM AND TELEVISION ARCHIVE",27
459,432975,2A,"FILM & TELEVISION ARCHIVE/ADMIN",27
460,432975,2B,"FILM & TELEVISION ARCHIVE/ADMIN/PRES CTR",27
461,432975,3A,"FILM & TELEVISION ARCHIVE/RES & STUDY CT",27
462,432975,3M,"FILM & TELEVISION ARCHIVE/MIAS",27
463,432975,5A,"FILM & TELEVISION ARCHIVE/PROGRAMMING",27
464,432975,5B,"FILM & TELEVISION ARCHIVE/PRESERVATION",27
465,432975,5C,"FILM & TELEVISION ARCHIVAL SERVICES",27
466,432975,5D,"FILM AND TV ARCHIVE/1141 N. SEWARD",27
467,432975,5T,"FILM AND TELEVISION ARCHIVE/INFO SYSTEM",27
468,432975,5X,"FILM & TELEVISION ARCHIVE/COMMERCIAL SVC",27
469,432975,6A,"FILM AND TV ARC/CURATORIAL ADMIN",27
470,432975,6C,"FILM AND TV ARC/SANTA CLARITA",27
471,432975,S1,"FILM AND TV ARCHIVE/SUSPENSE REDIRECT",27
472,432975,S2,"FILM AND TV ARCHIVE/WS CBR-GAEL REDIRECT",27
473,432976,"","FILM AND TELEVISION ARCHIVE PROGRAM",27
474,432976,AA,"FILM AND TELEVISION ARCHIVE/ALSBERG",27
475,432976,ER,"FILM AND TELEVISION ARCHIVE/RICHMOND",27
476,432976,SR,"FILM AND TELEVISION ARCHIVE/RICCI",27
477,432976,TK,"FILM AND TELEVISION ARCHIVE/KITTLESON",27
478,432977,"","FILM & TV ARCHIVE-PRESERVATION CENTER",27
479,442975,"","THEATER, FILM & TV-THEATRICAL PROPERTIES",27
480,622975,"","FILM AND TELEVISION ARCHIVE",27
481,622975,2A,"FILM & TELEVISION ARCHIVE/ADMIN",27
482,622975,3A,"FILM & TELEVISION ARCHIVE/RES & STUDY CT",27
483,622975,3M,"FILM & TELEVISION ARCHIVE/MIAS",27
484,622975,5A,"FILM & TELEVISION ARCHIVE/PROGRAMMING",27
485,622975,5B,"FILM & TELEVISION ARCHIVE/PRESERVATION",27
486,622975,5C,"FILM & TELEVISION ARCHIVE/COLLECTIONS",27
487,622975,6A,"FILM AND TV ARC/CURATORIAL ADMIN",27
488,622975,6C,"FILM AND TV ARC/SANTA CLARITA",27
489,622976,"","FILM AND TELEVISION ARCHIVE/",27
490,622976,AA,"FILM AND TELEVISION ARCHIVE/ALSBERG",27
491,622976,CH,"FILM AND TELEVISION ARCHIVE/HORAK",27
492,622976,ER,"FILM AND TELEVISION ARCHIVE/RICHMOND",27
493,622976,RS,"FILM AND TELEVISION ARCHIVE/STONE",27
494,622976,SR,"FILM AND TELEVISION ARCHIVE/RICCI",27
495,622976,TK,"FILM AND TELEVISION ARCHIVE/KITTLESON",27
496,622976,VS,"FILM AND TELEVISION ARCHIVE/STEEL",27
497,622977,"","FILM & TV ARCHIVES SUMMER TRAINING PROG",27
498,622978,"","FILM & TV ARCHIVE PUBLIC SRVS PROJECTS",27
499,782975,"","FILM AND TELEVISION ARCHIVE",27
500,782975,2A,"FILM & TELEVISION ARCHIVE/ADMIN",27
501,782975,2C,"FILM & TELEVISION ARCHIVE/STUDENT AWARD",27
502,782975,3A,"FILM & TELEVISION ARCHIVE/RES & STUDY CT",27
503,782975,3M,"FILM & TELEVISION ARCHIVE/MIAS",27
504,782975,5A,"FILM & TELEVISION ARCHIVE/PROGRAMMING",27
505,782975,5B,"FILM & TELEVISION ARCHIVE/PRESERVATION",27
506,782975,5C,"FILM & TELEVISION ARCHIVE/COLLECTIONS",27
507,782975,6A,"FILM AND TV ARC/CURATORIAL ADMIN",27
508,782975,6C,"FILM AND TV ARC/SANTA CLARITA",27
509,782976,"","FILM & TELEVISION ARCHIVE",27
510,782976,CH,"FILM & TELEVISION ARCHIVE/HORAK",27
511,782976,ER,"FILM & TELEVISION ARCHIVE/RICHMOND",27
512,782976,SR,"FILM & TELEVISION ARCHIVE/RICCI",27
513,792975,"","THEATER ARTS-MOTION PICTURE FILM LIBRARY",27
